bid, name, intro, birthday, gender, region
12907615, 无-助uc, None, 2011-12-07T00:00:00.000, Unknown, Unknown
12907622, real_DK, None, 1999-12-31T00:00:00.000, Unknown, Unknown
12907627, 呆兔, None, 1999-12-31T00:00:00.000, Male, Unknown
12907629, 坠入空白, 人生如同铁砧，愈是敲打，愈能发出火花, 1999-12-31T00:00:00.000, Female, Unknown
12907645, 诚实的木叶龙rg, None, 1984-03-18T00:00:00.000, Female, Unknown
12907647, 爱编程的小乌龟, 训练师编号: 891301, 2012-03-15T00:00:00.000, Unknown, Unknown
12907650, NUTN, ......, 1999-12-31T00:00:00.000, Female, Unknown
12907651, 15627, None, 1999-12-31T00:00:00.000, Female, Unknown
12907675, 万小万, 看透了，岛3充满猜疑唉……被冤枉次数:3 @万小万 你是岛上的第 301240 位岛民 在 2021 年 5 月 22日上岛 , 2006-01-01T00:00:00.000, Male, 510000
12907707, 友善的雷电猴Ku7b46, None, 2000-01-01T00:00:00.000, Female, Unknown
12907713, hgjgj, None, 1999-12-31T00:00:00.000, Female, Unknown
12907729, 大胆的象牙螺kdmI, None, 1999-12-31T00:00:00.000, Female, Unknown
12907768, 奴隶少女, 主人~我是您的奴隶少女！, 2010-11-18T00:00:00.000, Male, Unknown
12907770, 我是冥王星, None, 1999-12-31T00:00:00.000, Female, Unknown
12907790, 木子1359, None, 1999-12-31T00:00:00.000, Female, Unknown
12907807, 小鱼yuzifu, 玩会岛3～, 2007-12-07T00:00:00.000, Male, 440000
12907858, LuckyROtf, None, 2011-01-28T00:00:00.000, Female, Unknown
12907896, 马桶喵--@w@, \(@^0^@)/, 1999-12-31T00:00:00.000, Female, Unknown
12907903, M4162529, None, 1999-12-31T00:00:00.000, Female, Unknown
12907908, 清若如初, None, 1999-12-31T00:00:00.000, Female, Unknown
12907915, 充满爱心的蓝莓(小号), None, 1999-12-31T00:00:00.000, Female, Unknown
12907918, 冯国华, None, 1999-12-31T00:00:00.000, Female, Unknown
12907920, 喵人墨客tFu6, None, 1999-12-31T00:00:00.000, Female, Unknown
12907972, 违规昵称EHQwbtnyhJQk5PjScB, None, 1999-12-31T00:00:00.000, Female, Unknown
12907973, 收徒吗, 李**, 2010-11-10T00:00:00.000, Male, Unknown
12907982, 编程界新星, None, 1999-12-31T00:00:00.000, Female, Unknown
