bid, name, intro, birthday, gender, region
12905627, 机灵的阿尔法l5n7, None, 1999-12-31T00:00:00.000, Female, Unknown
12905628, 无1581, None, 1999-12-31T00:00:00.000, Female, Unknown
12905636, 豁达的小电鼠XKTO, None, 1999-12-31T00:00:00.000, Female, Unknown
12905639, 浮躁的小电鼠zUPC, None, 1999-12-31T00:00:00.000, Female, Unknown
12905678, 御御皆信仰, 御YYDS好吧 , 1999-12-31T00:00:00.000, Male, Unknown
12905693, 朝气的蓝雀1Cf-, None, 1999-12-31T00:00:00.000, Female, Unknown
12905721, 波兰球, None, 1999-12-31T00:00:00.000, Female, Unknown
12905740, 羞涩的独角蛛Hbj8, None, 1999-12-31T00:00:00.000, Female, Unknown
12905755, 木了, Praist永远滴神 躺平ing, 2011-05-11T00:00:00.000, Male, Unknown
12905765, ^可麦., None, 1999-12-31T00:00:00.000, Female, Unknown
12905785, 王三连0u, None, 2000-01-01T00:00:00.000, Female, Unknown
12905820, 家和万事兴9783, None, 1999-12-31T00:00:00.000, Female, Unknown
12905838, 上进的炸弹人9cT38r, None, 2000-01-01T00:00:00.000, Female, Unknown
12905901, 5号毛念心, None, 1999-12-31T00:00:00.000, Female, Unknown
12905905, 隆辉, None, 1999-12-31T00:00:00.000, Female, Unknown
12905912, 野生技术协会, 请问野生技术协会往哪走？, 2012-09-26T00:00:00.000, Unknown, Unknown
12905947, 风_谱, 龙门永存 建模  场景师搭建  二次元 模型武器人物  建筑现代风  合作🐧3651359908注明岛3 我推天野阳菜  拒绝同担🙉, 2008-08-22T00:00:00.000, Female, Unknown
12905975, 单纯的象牙螺jNJU, None, 1999-12-31T00:00:00.000, Female, Unknown
12905982, 我叫林, None, 1999-12-31T00:00:00.000, Female, Unknown
12905988, 开朗的网友第六军军长, None, 2011-01-07T00:00:00.000, Female, Unknown
12906048, 小飞飞121, None, 1999-12-31T00:00:00.000, Female, Unknown
12906053, 曲率飞船-神龙阁, None, 1925-01-01T00:00:00.000, Male, 120000
12906059, 昊雨4e, None, 2000-01-01T00:00:00.000, Female, Unknown
12906083, 小游膏^O^, 你好, 1999-12-31T00:00:00.000, Male, Unknown
12906085, 老白神, 非常的邪恶。, 2005-05-20T00:00:00.000, Unknown, Unknown
12906087, 彦荣, None, 1999-12-31T00:00:00.000, Unknown, Unknown
12906091, 爷是sirpei, 姐很高贵，你不配🌚🌚, 2000-07-01T00:00:00.000, Female, Unknown
12906106, 傲娇的神奇四喵辛, 唉，时光一瞬而过，我从刚入岛的2年级已经变成了一个6年级的畜生（中级的初生，初中生）啦！, Unknown, Unknown, Unknown
