bid, name, intro, birthday, gender, region
12897644, 时华泽, None, 1999-12-31T00:00:00.000, Female, Unknown
12897645, 狂妄的狂电猴aTXhm3, None, 2000-01-01T00:00:00.000, Female, Unknown
12897649, Djun涵, None, 1999-12-31T00:00:00.000, Female, Unknown
12897662, 无敌4099, None, 1999-12-31T00:00:00.000, Female, Unknown
12897676, 星河hf, 我上初中了，要半退了，感谢盆友们跟我一起玩起床，谢谢22，绿绿，滑稽，我去写一半发现有台风停课，继续，感谢兔子，沫沫。希望以前的不愉快化为烟尘，谢谢你们, 1999-12-31T00:00:00.000, Female, Unknown
12897677, 通灵师.千雪, 正义，从不会伸张自己！, 2011-03-10T00:00:00.000, Female, Unknown
12897680, 墨水湖, 回归了, 1999-12-31T00:00:00.000, Female, Unknown
12897683, 亦的一生, 你好，我叫林亦。我是雷电将军的狗，汪汪。, 2012-04-02T00:00:00.000, Male, Unknown
12897701, 我超能,   山本大意失仙人是我师傅，古代侠客（杀手家族长老）是我徒弟，黑白熊我师哥，我可能都不配，我非常的菜。, 2010-03-14T00:00:00.000, Female, Unknown
12897726, 茶花~(圣神族副族长), None, 1999-12-31T00:00:00.000, Female, Unknown
12897745, 知足的扎古QqLc36, None, 2000-01-01T00:00:00.000, Female, Unknown
12897747, 天秤中的熊喵, None, 1999-12-31T00:00:00.000, Female, Unknown
12897754, 温柔的蓝雀q2fT, None, 1999-12-31T00:00:00.000, Female, Unknown
12897758, 小鱼儿在海洋.禁言, 无, 1949-05-01T01:00:00.000, Female, Unknown
12897762, 無須終有, None, 1999-12-31T00:00:00.000, Female, Unknown
12897767, 白雪飘飘, None, 1999-12-31T00:00:00.000, Female, Unknown
12897770, 卡星, None, 1999-12-31T00:00:00.000, Female, Unknown
12897772, 小奇-, 彻底疯狂！, 2003-10-16T00:00:00.000, Unknown, Unknown
12897794, 编码星球梁昱霖, None, 1999-12-31T00:00:00.000, Female, Unknown
12897796, 稚气的潘达熊sAjr, None, 1999-12-31T00:00:00.000, Female, Unknown
12897798, 体贴的独角蛛3ULU, None, 1999-12-31T00:00:00.000, Female, Unknown
12897827, 违规昵称yAjtyz0zAMD85z0Ank, None, 1999-12-31T00:00:00.000, Female, Unknown
12897838, FMG.玖月-茜茜吖, 繁星走了，我在这儿也没什么意义了，虽然这一小段时间在岛三没认识几个人，不过还是过得相当开心的，祝你们今后也一样快乐啊！！！哦对，这号原来不是我的，我现在把这号还给号主，密码:yyds1212, 2022-10-22T00:00:00.000, Male, Unknown
12897840, 浪子力学研究员, 没错，那个小萧萧改名了。记得来编程猫社区里我哟, 2010-03-22T00:00:00.000, Unknown, Unknown
12897842, 漂浮的海j5, 本人今年11岁, 2013-01-01T00:00:00.000, Male, 460000
12897843, 迷人的阿米巴n1CS, None, 1999-12-31T00:00:00.000, Female, Unknown
12897867, 无畏的咪噜-kXc, None, 1999-12-31T00:00:00.000, Female, Unknown
12897871, iamsanssss, None, 1999-12-31T00:00:00.000, Female, Unknown
12897886, 错误sans3号, None, 1999-12-31T00:00:00.000, Female, Unknown
12897888, Micheal, None, 1999-12-31T00:00:00.000, Female, Unknown
12897889, 王倩, None, 1999-12-31T00:00:00.000, Female, Unknown
12897893, 阿巴阿巴阿巴阿吧(可食用), 今天是5月19日，转眼半年过去了 官方NB！转眼建模修好啦！ 师傅:一只小团子 (好久没上线了......)  云将赵乙隆 徒弟:AOR-慕容晓博 朋友:A332 AOR.治安部.小包子 我爱吃的蜂蜜 白菱 琳崽不碎觉 (英文名) , 2010-04-15T00:00:00.000, Female, Unknown
12897906, 枫原万叶哈哈哈, 别盗我号！, 1960-02-28T00:00:00.000, Male, Unknown
12897907, CESA, , Unknown, Male, 320000
12897947, *Chara*, None, 1999-12-31T00:00:00.000, Female, Unknown
12897970, 黄锴V17_, None, 1999-12-31T00:00:00.000, Female, Unknown
12897973, 貌若天仙的兔叽叽小红, None, 1999-12-31T00:00:00.000, Female, Unknown
12897998, 雪糕刺K, None, 1999-12-31T00:00:00.000, Female, Unknown
12898000, 冷静的呆鲤鱼8p1bts, None, 2000-01-01T00:00:00.000, Female, Unknown
12898012, 固执的阿尔法Avib, None, 1999-12-31T00:00:00.000, Female, Unknown
12898030, 墨雨蒙蒙, None, 1999-12-31T00:00:00.000, Female, Unknown
12898045, 海天王星, None, 2010-12-16T00:00:00.000, Unknown, Unknown
12898058, 时空之刃, None, 1999-12-31T00:00:00.000, Female, Unknown
12898059, 执着的树毛虫CgpJ, None, 1999-12-31T00:00:00.000, Female, Unknown
12898083, 实干的彗星猫BW8y, None, 1999-12-31T00:00:00.000, Female, Unknown
12898086, 善良的小布丁小七, None, 1999-12-31T00:00:00.000, Female, Unknown
12898137, 固执的导弹鲨6FOJ, None, 1999-12-31T00:00:00.000, Female, Unknown
12898141, 反神经的虫子, 我在混沌神域二或者天启大陆 风华的师傅, 2010-05-06T00:00:00.000, Unknown, Unknown
12898177, 9BK, None, 1999-12-31T00:00:00.000, Female, Unknown
12898195, 珍4943, None, 1999-12-31T00:00:00.000, Female, Unknown
12898207, MRZ.爱学习的小孩.UFO, 爱情就像一个游戏， 胜利了， 就过得很幸福， 失败了， 就过得很难过， 反反复复的玩过来， 我， 终究还是失败， 那， 为什么还要玩呢？, 2010-10-09T00:00:00.000, Female, Unknown
12898222, 121212, None, 1999-12-31T00:00:00.000, Female, Unknown
12898230, 敏感的刺牙螺eZAV, None, 1999-12-31T00:00:00.000, Female, Unknown
12898256, 颜尚轩, None, 1999-12-31T00:00:00.000, Female, Unknown
