bid, name, intro, birthday, gender, region
12903617, 木鱼5715, None, 1999-12-31T00:00:00.000, Female, Unknown
12903690, TInMlk, None, 1999-12-31T00:00:00.000, Unknown, Unknown
12903706, 超逊的忆灵, ……我用一下天蓝，我怕你还要用所以先把黑龙给你如果你要用的话去混沌找我，我还给你, 1999-12-31T00:00:00.000, Unknown, Unknown
12903716, AOR.羞涩的熔岩龙3IwQ, None, 1999-12-31T00:00:00.000, Female, Unknown
12903781, 扎克风暴, None, 2010-11-16T00:00:00.000, Unknown, Unknown
12903787, cheems侠客剑侠, 起床战争我无敌哈哈哈, 1999-12-31T00:00:00.000, Female, Unknown
12903806, 碳烤熟鱼, 喜欢发无语。, 2011-01-04T00:00:00.000, Male, Unknown
12903816, 椰羊, None, 1999-12-31T00:00:00.000, Female, Unknown
12903834, 小宝哥哥, 做点小游戏, 2015-01-01T00:00:00.000, Male, 440000
12903841, 小章鱼有点悲伤, None, 1999-12-31T00:00:00.000, Female, Unknown
12903866, 天启工作室(建筑师), None, 1999-12-31T00:00:00.000, Female, Unknown
12903898, 一杯奶猹(扎古ntnf), None, 2008-09-13T00:00:00.000, Female, Unknown
12903900, 华欣希yu, None, 1999-12-31T00:00:00.000, Female, Unknown
12903901, 稳重的流星猫YuGl, None, 1999-12-31T00:00:00.000, Female, Unknown
12903906, 机智的铁奥fipp, None, 1999-12-31T00:00:00.000, Female, Unknown
12903932, 1yyds1, None, 2009-06-03T00:00:00.000, Unknown, Unknown
12903959, 徐富gD15hs, None, 2000-01-01T00:00:00.000, Female, Unknown
12903970, 冷静的重金怪jBzO, None, 1999-12-31T00:00:00.000, Female, Unknown
12903972, 1748, 。。, 2011-11-10T00:00:00.000, Male, Unknown
12903979, 独立的雷电猴, 你是岛上的第 297549 位岛民  在 2021 年 5 月 17 日首次上岛  准备中考中，时不时诈尸回魂, 2010-07-03T00:00:00.000, Unknown, 330000
12903980, 1234(魔神, ppppppppppppppppp, 1999-12-31T00:00:00.000, Unknown, Unknown
12903997, 柒之暗, 迈向光明之路，注定荆棘丛生, Unknown, Unknown, Unknown
12904004, JKH.天使与恶魔, 我舍不得这个游戏，舍不得每一个玩家！舍不得吉吉喵和美术喵。😭😭😭😭▄█▀█●给跪了！, 2022-05-08T00:00:00.000, Female, Unknown
12904027, 谨慎的独角蛛SqWo, None, 1999-12-31T00:00:00.000, Female, Unknown
12904041, ....:, None, 1999-12-31T00:00:00.000, Female, Unknown
12904049, 实干的雷电猴8MVO, None, 1999-12-31T00:00:00.000, Female, Unknown
12904063, 星星9645, None, 1999-12-31T00:00:00.000, Female, Unknown
12904064, 虚幻的未来, None, 1999-12-31T00:00:00.000, Female, Unknown
12904066, 我的世界里的Him大人, None, 1999-12-31T00:00:00.000, Female, Unknown
12904084, 巠雅思听/月下风来, 此世群魔诸神并起，我虽无意逐鹿，却知苍生苦楚，只愿荡涤四方，护得浮世一隅。 在你通向那个人的路上，也许会有更多困难，但只要你坚信这条路通往『正确』，一切就有意义。 , 2012-03-28T00:00:00.000, Unknown, Unknown
12904110, Godrose, 暑假要回老家，暂退。 I like 我的世界。 有时玩：香肠，凹凸，猫和老鼠，贪吃蛇。 所有ID都是米饭粒123. 我有三个号【。 。】！ 大号：OTT.静雅思听。中号：OTT.金雅思听。小号：Godrose。 梦想：关注地球70亿人。 退岛时间：实现梦想的, 2012-03-28T00:00:00.000, Unknown, Unknown
12904144, 斯文的熔岩龙xiHY, None, 1999-12-31T00:00:00.000, Female, Unknown
12904148, ANONYMOUS, Nothing, 1964-04-16T00:00:00.000, Female, Unknown
12904155, Als.南平之月, 全体目光向我看齐，我宣布个事，我是个老六, 2011-03-09T00:00:00.000, Female, Unknown
12904222, 王浩宁gx, None, 2000-01-01T00:00:00.000, Female, Unknown
12904264, 坦率的飞叶龙eOZt, None, 1999-12-31T00:00:00.000, Female, Unknown
12904336, 丰富封, None, 1999-12-31T00:00:00.000, Female, Unknown
12904337, 坚强的导弹鲨730u, None, 1999-12-31T00:00:00.000, Female, Unknown
12904344, 灵秀的潘达熊vPD7, None, 1999-12-31T00:00:00.000, Female, Unknown
12904347, 炭火堆的小白鸽, 墙头檀健次，本命白敬亭，小炭火亦是小白鸽~小某书@跌入炭火堆的修白鸽, 2009-05-11T00:00:00.000, Male, Unknown
12904365, 淘气的达达蟹4TnH, None, 1999-12-31T00:00:00.000, Female, Unknown
12904367, 佛系的蜘蛛喵小维, None, 2011-12-28T00:00:00.000, Unknown, Unknown
12904379, 王博文同学1c, None, 2000-01-01T00:00:00.000, Female, Unknown
12904395, 是小罗卜吖, None, 2012-05-19T00:00:00.000, Male, Unknown
12904411, 满天下糖果, None, 1999-12-31T00:00:00.000, Female, Unknown
12904412, 小飞飞喵小小号(朱雀家族), 一个超级萌新。 , 2000-01-19T00:00:00.000, Unknown, Unknown
12904428, 忠诚的达达蟹Kqjj, None, 1999-12-31T00:00:00.000, Unknown, Unknown
12904429, 原神真爱, None, 1999-12-31T00:00:00.000, Female, Unknown
12904430, OvO!, 啊吧~啊吧~  啊！, 2012-03-22T00:00:00.000, Male, Unknown
12904459, SFHRFBBMJGLTYKL, None, 1999-12-31T00:00:00.000, Female, Unknown
12904500, 蜉蝣, None, 2000-05-14T00:00:00.000, Female, Unknown
12904505, 东张西望的泡泡鱼辛巴, None, 1999-12-31T00:00:00.000, Female, Unknown
12904518, 唐三(海神), None, 1999-12-31T00:00:00.000, Female, Unknown
12904528, 加班熊, None, 1999-12-31T00:00:00.000, Female, Unknown
12904584, 木土杜, None, 1999-12-31T00:00:00.000, Female, Unknown
